ticket_id,customer_id,created_date,priority,department,category,subject,message,assigned_agent,resolution,status,sentiment,resolution_time,escalation
TKT-000001,CUST-00941,2017-10-19 19:46,High,Technical Support,Account Access,SSO login failing,"We're having trouble accessing our account — SSO login redirects back to the login screen without completing authentication. This is blocking our team from working, so any urgency you can provide is appreciated.",Priya Desai,Walked the customer through rotating the affected credential. Root cause was an outdated integration credential.,Closed,Neutral,4.9,No
TKT-000002,CUST-00625,2026-01-24 13:49,Normal,Technical Support,Account Access,IP allowlisting blocking access,"We're having trouble accessing our account — our IP allowlist seems to be blocking access from our own office network. This is blocking our team from working, so any urgency you can provide is appreciated.",Ingrid Solberg,Issue identified as a misconfigured routing rule; resolved by waiting for propagation and reverifying. Confirmed working with the customer.,Resolved,Neutral,38.1,No
TKT-000003,CUST-00366,2026-08-01 07:57,Normal,Product & Feature Requests,Feature Request,Requesting bulk action improvements,We wanted to pass along a feature suggestion — a higher bulk action limit on our current plan tier for large-scale ticket cleanup. This would make a meaningful difference for our team's workflow.,Amara Chukwu,Provided documentation and guided customer through reauthorizing the integration to address a caching delay.,Resolved,Negative,13.9,No
TKT-000004,CUST-00080,2026-03-21 10:07,Normal,Security,Security,Need audit log export for compliance review,"We have a security-related question or request — an export of our audit logs to support an upcoming internal compliance review. Given the nature of this, we'd appreciate a prompt response.",Yuki Tanaka,Walked the customer through waiting for propagation and reverifying. Root cause was a DNS propagation delay.,Resolved,Negative,27.1,No
TKT-000005,CUST-00133,2020-07-11 07:30,Low,Billing,Billing,Need a copy of last invoice,We have a question about our billing — we need an itemized copy of our last invoice for our own accounting records. Could someone from your billing team clarify this for us?,Nora Kowalski,Walked the customer through correcting the field identifier reference. Root cause was a misconfigured routing rule.,Closed,Neutral,32.2,No
TKT-000006,CUST-00378,2017-03-31 16:02,Normal,Technical Support,Api Platform,API returning 401 errors,"We're integrating with the CloudDesk API Platform and running into an issue — we're getting 401 Unauthorized errors despite using what we believe is a valid API key. Here's what we've checked on our end so far, but wanted to confirm with your team.",Yuki Tanaka,Issue identified as a misconfigured routing rule; resolved by reauthorizing the integration. Confirmed working with the customer.,Closed,Neutral,6.6,No
TKT-000007,CUST-00172,2018-07-27 05:10,High,Security,Security,Suspicious login activity on account,"We have a security-related question or request — we noticed a login from an unexpected location and want it investigated. Given the nature of this, we'd appreciate a prompt response.",Freya Lindqvist,Escalated internally; engineering confirmed a plan-tier feature limitation and applied clearing cached data and reloading.,Resolved,Neutral,7.7,Yes
TKT-000008,CUST-00975,2026-07-27 21:34,High,Security,Security,API key rotation policy question,"We have a security-related question or request — clarification on how our configured API key rotation policy affects active integrations. Given the nature of this, we'd appreciate a prompt response.",Sam Delgado,Resolved after updating configuration — adjusting the widget installation snippet. Customer confirmed resolution.,Resolved,Negative,2.7,Yes
TKT-000009,CUST-00697,2026-03-22 22:09,Urgent,Account Management,Account Admin,Reviewing our current plan usage,We need some help managing our account — we'd like a summary of our current seat and feature usage ahead of renewal. Let us know what you need from us to get this handled.,Freya Lindqvist,Escalated internally; engineering confirmed a plan-tier feature limitation and applied upgrading to the appropriate plan tier.,Resolved,Positive,0.5,No
TKT-000010,CUST-00229,2026-08-03 03:35,Normal,Security,Security,Need audit log export for compliance review,"We have a security-related question or request — an export of our audit logs to support an upcoming internal compliance review. Given the nature of this, we'd appreciate a prompt response.",Freya Lindqvist,Provided documentation and guided customer through reauthorizing the integration to address a browser extension conflict.,Resolved,Neutral,20.5,No
TKT-000011,CUST-00500,2025-01-15 00:14,Normal,Technical Support,Tickets Workflow,Merge tickets option missing,"We've run into a problem with CloudDesk Tickets — we can't find the merge option to combine two duplicate tickets. Our team relies on this working correctly for day-to-day queue management, so any help is appreciated.",Nora Kowalski,Resolved after updating configuration — updating the relevant configuration setting. Customer confirmed resolution.,Resolved,Neutral,18.7,No
TKT-000012,CUST-00204,2025-10-19 11:37,High,Product & Feature Requests,Feature Request,Suggestion for chat widget customization,We wanted to pass along a feature suggestion — more granular control over chat widget font and spacing customization. This would make a meaningful difference for our team's workflow.,Freya Lindqvist,Escalated internally; engineering confirmed an outdated integration credential and applied updating the relevant configuration setting.,Resolved,Neutral,5.1,Yes
TKT-000013,CUST-00111,2022-01-22 16:50,Low,Technical Support,Tickets Workflow,Merge tickets option missing,"We've run into a problem with CloudDesk Tickets — we can't find the merge option to combine two duplicate tickets. Our team relies on this working correctly for day-to-day queue management, so any help is appreciated.",Diego Morales,Walked the customer through updating the relevant configuration setting. Root cause was an incorrect field mapping.,Closed,Neutral,55.1,No
TKT-000014,CUST-00325,2026-07-22 00:39,High,Account Management,Account Admin,Request to deactivate former employee,We need some help managing our account — we need to deactivate a former employee's account as part of our offboarding process. Let us know what you need from us to get this handled.,Caleb Foster,,Open,Neutral,,No
TKT-000015,CUST-00037,2026-08-01 06:01,Normal,Onboarding,Onboarding,Migrating historical tickets from previous platform,We're in the process of setting up Corvex Cloud and could use some guidance — we're migrating several years of historical tickets from our previous support platform. Happy to hop on a call if that's easier.,Nora Kowalski,,Pending,Neutral,,No
TKT-000016,CUST-00485,2026-07-31 01:38,High,Security,Security,IP allowlisting not permitting access,"We have a security-related question or request — our IP allowlist is blocking legitimate traffic from a newly added office location. Given the nature of this, we'd appreciate a prompt response.",Sam Delgado,Walked the customer through correcting the field identifier reference. Root cause was a browser extension conflict.,Resolved,Neutral,3.2,No
TKT-000017,CUST-00571,2024-08-03 07:08,Normal,Technical Support,Analytics,Dashboard widget showing no data,"Our CloudDesk Analytics dashboard isn't behaving as expected — a specific widget on our custom dashboard shows no data despite active tickets. We use this report regularly for our team standup, so we'd like this resolved soon.",Ingrid Solberg,Walked the customer through rotating the affected credential. Root cause was an outdated integration credential.,Closed,Neutral,34.9,No
TKT-000018,CUST-00523,2023-12-18 00:07,Normal,Security,Security,Suspicious login activity on account,"We have a security-related question or request — we noticed a login from an unexpected location and want it investigated. Given the nature of this, we'd appreciate a prompt response.",Zara Ahmed,Provided documentation and guided customer through clearing cached data and reloading to address an outdated integration credential.,Resolved,Neutral,36.9,Yes
TKT-000019,CUST-00981,2024-05-11 12:06,Low,Security,Security,Need audit log export for compliance review,"We have a security-related question or request — an export of our audit logs to support an upcoming internal compliance review. Given the nature of this, we'd appreciate a prompt response.",Lucia Ferrari,Walked the customer through adjusting the widget installation snippet. Root cause was an outdated integration credential.,Resolved,Positive,10.0,Yes
TKT-000020,CUST-00243,2019-03-06 09:12,Low,Technical Support,Analytics,Dashboard widget showing no data,"Our CloudDesk Analytics dashboard isn't behaving as expected — a specific widget on our custom dashboard shows no data despite active tickets. We use this report regularly for our team standup, so we'd like this resolved soon.",James Okafor,Provided documentation and guided customer through correcting the field identifier reference to address a plan-tier feature limitation.,Resolved,Neutral,25.1,No
TKT-000021,CUST-00756,2024-10-05 07:41,High,Account Management,Account Admin,Question about custom role permissions,We need some help managing our account — we're not sure our custom role is configured with the correct set of permissions. Let us know what you need from us to get this handled.,Yuki Tanaka,Resolved after updating configuration — clearing cached data and reloading. Customer confirmed resolution.,Resolved,Neutral,10.0,No
TKT-000022,CUST-00434,2024-12-08 00:51,Normal,Onboarding,Onboarding,Need help connecting support email,We're in the process of setting up Corvex Cloud and could use some guidance — we're trying to connect our support email address and the verification isn't completing. Happy to hop on a call if that's easier.,Nora Kowalski,Escalated internally; engineering confirmed a caching delay and applied adjusting the widget installation snippet.,Closed,Positive,20.2,No
TKT-000023,CUST-00215,2017-07-17 08:09,High,Billing,Billing,Requesting refund for duplicate charge,We have a question about our billing — we were charged twice for the same billing period and would like this corrected. Could someone from your billing team clarify this for us?,Mia Rodriguez,Provided documentation and guided customer through upgrading to the appropriate plan tier to address a caching delay.,Resolved,Positive,9.2,Yes
TKT-000024,CUST-00313,2020-09-26 05:43,Normal,Security,Security,Requesting SSO configuration assistance,"We have a security-related question or request — help finishing our SAML SSO configuration, since our test login isn't completing. Given the nature of this, we'd appreciate a prompt response.",Sam Delgado,Issue identified as an incorrect field mapping; resolved by adjusting the widget installation snippet. Confirmed working with the customer.,Resolved,Neutral,40.2,No
TKT-000025,CUST-00786,2022-11-14 07:26,Normal,Security,Security,Requesting SSO configuration assistance,"We have a security-related question or request — help finishing our SAML SSO configuration, since our test login isn't completing. Given the nature of this, we'd appreciate a prompt response.",Zara Ahmed,,Open,Neutral,,Yes
