invoice_id,customer_id,plan,amount,currency,payment_status,payment_method,due_date,paid_date,refund_status
INV-000001,CUST-00001,Starter,226.47,USD,Paid,Credit Card,2025-08-28,2025-08-29,Not Requested
INV-000002,CUST-00001,Starter,226.47,USD,Paid,Credit Card,2025-09-27,2025-09-27,Not Requested
INV-000003,CUST-00001,Starter,226.47,USD,Paid,Credit Card,2025-10-27,2025-10-28,Not Requested
INV-000004,CUST-00001,Starter,226.47,USD,Paid,Credit Card,2025-11-26,2025-11-30,Not Requested
INV-000005,CUST-00001,Starter,226.47,USD,Paid,Credit Card,2025-12-26,2025-12-26,Not Requested
INV-000006,CUST-00001,Starter,226.47,USD,Paid,Credit Card,2026-01-25,2026-01-26,Not Requested
INV-000007,CUST-00001,Starter,226.47,USD,Paid,Credit Card,2026-02-24,2026-02-26,Not Requested
INV-000008,CUST-00001,Starter,226.47,USD,Paid,Credit Card,2026-03-26,2026-03-27,Not Requested
INV-000009,CUST-00001,Starter,226.47,USD,Paid,PayPal,2026-04-25,2026-04-27,Not Requested
INV-000010,CUST-00001,Starter,226.47,USD,Paid,Credit Card,2026-05-25,2026-05-30,Not Requested
INV-000011,CUST-00001,Starter,226.47,USD,Paid,Credit Card,2026-06-24,2026-06-25,Not Requested
INV-000012,CUST-00001,Starter,226.47,USD,Paid,Credit Card,2026-07-24,2026-07-24,Not Requested
INV-000013,CUST-00002,Starter,4403.62,USD,Paid,Credit Card,2025-08-28,2025-08-29,Not Requested
INV-000014,CUST-00004,Professional,28408.16,GBP,Paid,Credit Card,2025-08-28,2025-09-01,Not Requested
INV-000015,CUST-00005,Professional,120991.62,USD,Paid,Credit Card,2025-08-28,2025-08-30,Not Requested
INV-000016,CUST-00006,Professional,67542.27,USD,Paid,Credit Card,2025-08-28,2025-09-03,Not Requested
INV-000017,CUST-00007,Professional,9789.43,USD,Paid,Credit Card,2025-08-28,2025-09-01,Not Requested
INV-000018,CUST-00007,Professional,9789.43,USD,Paid,Credit Card,2025-09-27,2025-09-28,Not Requested
INV-000019,CUST-00007,Professional,9789.43,USD,Paid,Credit Card,2025-10-27,2025-10-27,Not Requested
INV-000020,CUST-00007,Professional,9789.43,USD,Paid,Credit Card,2025-11-26,2025-11-27,Not Requested
INV-000021,CUST-00007,Professional,9789.43,USD,Paid,Credit Card,2025-12-26,2025-12-28,Not Requested
INV-000022,CUST-00007,Professional,9789.43,USD,Paid,Credit Card,2026-01-25,2026-01-27,Not Requested
INV-000023,CUST-00007,Professional,9789.43,USD,Paid,ACH Bank Transfer,2026-02-24,2026-02-25,Not Requested
INV-000024,CUST-00007,Professional,9789.43,USD,Paid,ACH Bank Transfer,2026-03-26,2026-03-26,Not Requested
INV-000025,CUST-00007,Professional,9789.43,USD,Paid,Credit Card,2026-04-25,2026-04-26,Not Requested
INV-000026,CUST-00007,Professional,9789.43,USD,Paid,Credit Card,2026-05-25,2026-05-30,Not Requested
INV-000027,CUST-00007,Professional,9789.43,USD,Paid,Credit Card,2026-06-24,2026-06-25,Not Requested
INV-000028,CUST-00007,Professional,9789.43,USD,Paid,ACH Bank Transfer,2026-07-24,2026-07-26,Not Requested
INV-000029,CUST-00008,Professional,25780.1,USD,Paid,ACH Bank Transfer,2025-08-28,2025-08-28,Not Requested
INV-000030,CUST-00009,Starter,283.9,USD,Paid,Credit Card,2025-08-28,2025-08-29,Not Requested
INV-000031,CUST-00009,Starter,283.9,USD,Refunded,Credit Card,2025-09-27,2025-10-03,Approved - Refunded
INV-000032,CUST-00009,Starter,283.9,USD,Paid,Credit Card,2025-10-27,2025-10-27,Not Requested
