request_id,customer_id,customer_plan,product_id,product_name,category,title,description,submitted_date,status,priority,votes,assigned_product_manager
FR-00001,CUST-00648,Professional,P002,CloudDesk Tickets,Bulk Actions,Higher bulk action limits on Professional,"Our seasonal cleanup requires bulk-updating several thousand tickets at once, and the current Professional limit requires us to break this into many batches.",2024-08-26,Declined,Low,20,Pamela Berry
FR-00002,CUST-00668,Starter,P002,CloudDesk Tickets,SLA,"SLA targets that vary by customer tier, not just priority","We'd like our SLA rules to also factor in the requesting customer's account tier, not only the ticket's priority level.",2026-07-15,Under Review,Medium,1,
FR-00003,CUST-00456,Professional,P005,CloudDesk Mobile,Accessibility,Improved screen reader support throughout the app,"We have a team member who relies on a screen reader, and several screens in the app aren't fully navigable with it currently.",2024-10-15,Duplicate,Medium,24,John Williams
FR-00004,CUST-00761,Enterprise,P001,CloudDesk Chat,Reporting,Chat-specific abandonment rate metric,"We'd like to see a report showing how many chat sessions are started but abandoned before an agent responds, broken out by time of day.",2025-09-14,Declined,Medium,25,Jason Sherman
FR-00005,CUST-00569,Starter,P004,CloudDesk API Platform,Developer Experience,Official Python SDK client library,"We're currently wrapping the REST API ourselves in Python. An official, maintained client library would reduce our maintenance burden.",2026-02-22,Shipped,Low,22,Jason Sherman
FR-00006,CUST-00919,Enterprise,P002,CloudDesk Tickets,UI/UX,Keyboard-only workflow for reviewing and merging duplicate tickets,Merging duplicates currently requires several clicks per pair. A faster keyboard-driven review flow would help during high-volume periods.,2024-03-08,Declined,Low,44,Donna Baird
FR-00007,CUST-00328,Starter,P003,CloudDesk Analytics,Export,More frequent data warehouse export scheduling,The current export schedule options aren't frequent enough for our near-real-time internal reporting needs. We'd like an hourly option.,2024-01-07,Planned,Medium,31,Emily Dominguez
FR-00008,CUST-00901,Starter,P002,CloudDesk Tickets,Automation,Conditional logic within a single automation rule,We'd like to combine multiple AND/OR conditions within one automation rule rather than needing to build several separate rules to achieve the same outcome.,2024-02-03,Planned,Medium,34,Emily Dominguez
FR-00009,CUST-00065,Starter,P002,CloudDesk Tickets,Automation,Conditional logic within a single automation rule,We'd like to combine multiple AND/OR conditions within one automation rule rather than needing to build several separate rules to achieve the same outcome.,2024-06-01,Under Review,High,37,Donna Baird
FR-00010,CUST-00469,Starter,P004,CloudDesk API Platform,Documentation,"Interactive, runnable code samples in multiple languages",The current code samples are helpful but only in a couple of languages. Runnable examples in more languages would speed up our integration work.,2025-09-04,Planned,Medium,13,Pamela Berry
FR-00011,CUST-00805,Starter,P005,CloudDesk Mobile,Analytics,Push notification when a specific metric on the mobile snapshot changes significantly,"We'd like an optional push alert when our mobile-visible performance snapshot shows an unusual shift, similar to desktop threshold alerts.",2026-06-01,Under Review,Low,1,
FR-00012,CUST-00684,Starter,P002,CloudDesk Tickets,Automation,Conditional logic within a single automation rule,We'd like to combine multiple AND/OR conditions within one automation rule rather than needing to build several separate rules to achieve the same outcome.,2026-06-12,Under Review,High,2,
FR-00013,CUST-00894,Enterprise,P004,CloudDesk API Platform,Developer Experience,Official Python SDK client library,"We're currently wrapping the REST API ourselves in Python. An official, maintained client library would reduce our maintenance burden.",2026-06-29,Under Review,High,14,Kelly Golden
FR-00014,CUST-00474,Professional,P003,CloudDesk Analytics,Mobile,Fuller reporting detail available in the mobile snapshot,The mobile performance snapshot is helpful but too condensed for some of our quick decision-making. We'd like a middle-ground detail level.,2024-10-13,Planned,Medium,21,Jason Sherman
